,variable,year,population
872,Georgia,1870,260
873,Scotland,1870,195
874,Arkansas,1870,90
875,Wyoming,1870,54
876,Connecticut,1870,211
877,New Mexico,1870,8383
878,Sweden,1870,182
879,Rhode Island,1870,86
880,England,1870,1343
881,"West Indies, ns",1870,4
882,Nova Scotia,1870,52
883,Minnesota,1870,82
884,Bohemia,1870,15
885,West Virginia,1870,12
886,Germany,1870,25
887,New Brunswick,1870,23
888,Texas,1870,143
889,At sea,1870,8
890,Utah,1870,67
891,Hanover,1870,73
892,Norway,1870,40
893,Oregon,1870,5
894,Hessen,1870,71
895,Netherlands,1870,17
896,Austria,1870,52
897,Poland,1870,47
898,Hesse-Nassau,1870,29
899,Hamburg,1870,8
900,South Carolina,1870,33
901,Thuringian States,1870,68
902,Other USSR/Russia,1870,17
903,District of Columbia,1870,20
904,Indian Territory,1870,2
905,"South America, ns",1870,2
906,Mecklenburg,1870,6
907,Australia,1870,5
908,Hawaii,1870,2
909,Belgium,1870,11
910,Malta,1870,2
911,Montana,1870,11
912,Chile,1870,3
913,Hungary,1870,2
914,Bahamas,1870,14
915,China,1870,7
916,Isle of Man,1870,28
917,Peru,1870,5
918,Spain,1870,5
919,Braunschweig,1870,2
920,Bremen,1870,3
921,Italy,1870,17
922,Wurttemberg,1870,1
923,Florida,1870,7
924,Nevada,1870,3
925,Dakota Territory,1870,4
926,Native American,1870,1
927,Idaho,1870,1
928,East Indies,1870,2
929,"United States, ns",1870,1
930,Luxembourg,1870,3
931,Berlin,1870,5
932,Russian Poland,1870,2
933,Newfoundland,1870,3
934,Alaska,1870,1
935,Cuba,1870,1
936,Brazil,1870,1
937,Ireland,1880,8313
938,Iowa,1880,7558
939,Colorado,1880,26058
940,Illinois,1880,13026
941,New York,1880,15551
942,Michigan,1880,3673
943,Pennsylvania,1880,11408
944,Ohio,1880,11776
945,Wisconsin,1880,3899
946,Missouri,1880,12609
947,New Hampshire,1880,739
948,Canada,1880,4619
949,Massachusetts,1880,3666
950,Italy,1880,335
951,Kansas,1880,4035
952,Wurttemberg,1880,264
953,Bavaria,1880,454
954,Switzerland,1880,528
955,"Prussia, nec",1880,1647
956,Baden,1880,392
957,Hessen,1880,107
958,Virginia,1880,2456
959,Austria,1880,437
960,Tennessee,1880,1979
961,Scotland,1880,1681
962,New Jersey,1880,1479
963,Indiana,1880,5233
964,Nebraska,1880,952
965,England,1880,8779
966,Poland,1880,148
967,Wales,1880,1231
968,Other USSR/Russia,1880,296
969,Belgium,1880,49
970,France,1880,823
971,Maryland,1880,1076
972,Germany,1880,3388
973,Saxony,1880,174
974,Minnesota,1880,694
975,California,1880,636
976,Hanover,1880,190
977,Kentucky,1880,3795
978,Netherlands,1880,114
979,Bohemia,1880,95
